poin Momota;poin Axelsen;Nama;rally;type;Banyak pukulan
;;Momota;18;Drive(M);2
;;Axelsen;18;Netting(A);3
;;Momota;18;Netting(M);4
;;Axelsen;18;Netting(A);5
;;Momota;18;Lob(M);6
;;Axelsen;18;Smash(A);7
;;Momota;18;Netting(M);8
;;Axelsen;18;Netting(A);9
;;Momota;18;Lob(M);10
;;Axelsen;18;Lob(A);11
;;Momota;18;Smash(M);12
11;8;Axelsen;18;Lob(A);13
;;Axelsen;19;Netting(A);1
;;Momota;19;Lob(M);2
;;Axelsen;19;Dropshot(A);3
;;Momota;19;Lob(M);4
;;Axelsen;19;Lob(A);5
;;Momota;19;Smash(M);6
;;Axelsen;19;Netting(A);7
;;Momota;19;Smash(M);8
;;Axelsen;19;Netting(A);9
;;Momota;19;Smash(M);10
;;Axelsen;19;Lob(A);11
;;Momota;19;Lob(M);12
;;Axelsen;19;Smash(A);13
;;Momota;19;Netting(M);14
;;Axelsen;19;Netting(A);15
11;9;Momota;19;Netting(M);16
;;Momota;20;Lob(M);1
;;Axelsen;20;Lob(A);2
12;9;Momota;20;Smash(M);3
;;Axelsen;21;Lob(A);1
;;Momota;21;Netting(M);2
;;Axelsen;21;Netting(A);3
;;Momota;21;Drive(M);4
;;Axelsen;21;Netting(A);5
;;Momota;21;Lob(M);6
13;9;Axelsen;21;Smash(A);7
;;Axelsen;22;Lob(A);1
;;Momota;22;Dropshot(M);2
;;Axelsen;22;Netting(A);3
;;Momota;22;Netting(M);4
;;Axelsen;22;Netting(A);5
;;Momota;22;Lob(M);6
;;Axelsen;22;Smash(A);7
;;Momota;22;Netting(M);8
;;Axelsen;22;Lob(A);9
;;Momota;22;Dropshot(M);10
;;Axelsen;22;Netting(A);11
14;9;Momota;22;Lob(M);12
;;Axelsen;23;Netting(A);1
;;Momota;23;Lob(M);2
;;Axelsen;23;Smash(A);3
;;Momota;23;Netting(M);4
;;Axelsen;23;Lob(A);5
;;Momota;23;Smash(M);6
;;Axelsen;23;Netting(A);7
;;Momota;23;Lob(M);8
;;Axelsen;23;Smash(A);9
;;Momota;23;Netting(M);10
;;Axelsen;23;Netting(A);11
;;Momota;23;Netting(M);12
;;Axelsen;23;Netting(A);13
15;9;Momota;23;Smash(M);14
;;Axelsen;24;Lob(A);1
;;Momota;24;Lob(M);2
;;Axelsen;24;Smash(A);3
;;Momota;24;Netting(M);4
;;Axelsen;24;Lob(A);5
16;9;Momota;24;Smash(M);6
17;9;Axelsen;25;Netting(A);1
;;Axelsen;26;Netting(A);1
;;Momota;26;Lob(M);2
;;Axelsen;26;Dropshot(A);3
;;Momota;26;Netting(M);4
;;Axelsen;26;Lob(A);5
17;10;Momota;26;Smash(M);6
;;Momota;27;Lob(M);1
18;10;Axelsen;27;Lob(A);2
;;Momota;28;Lob(M);1
;;Axelsen;28;Lob(A);2
;;Momota;28;Lob(M);3
;;Axelsen;28;Smash(A);4
;;Momota;28;Netting(M);5
;;Axelsen;28;Lob(A);6
;;Momota;28;Lob(M);7
18;11;Axelsen;28;Smash(A);8
;;Momota;29;Lob(M);1
;;Axelsen;29;Dropshot(A);2
;;Momota;29;Netting(M);3
;;Axelsen;29;Lob(A);4
;;Momota;29;Smash(M);5
;;Axelsen;29;Netting(A);6
;;Momota;29;Netting(M);7
;;Axelsen;29;Lob(A);8
;;Momota;29;Drive(M);9
;;Axelsen;29;Lob(A);10
;;Momota;29;Netting(M);11
19;11;Axelsen;29;Netting(A);12
;;Axelsen;30;Netting(A);1
;;Momota;30;Lob(M);2
;;Axelsen;30;Lob(A);3
20;11;Momota;30;Smash(M);4
21;11;Axelsen;31;Netting(A);1
