poin Momota;poin Axelsen;Nama;rally;type;Banyak pukulan
;;Axelsen;18;Smash(A);17
10;8;Momota;18;Netting(M);18
;;Axelsen;19;Lob(A);1
; ;Momota;19;Dropshot(M);2
10;9;Axelsen;19;Drive(A);3
;;Momota;20;Lob(M);1
;;Axelsen;20;Smash(A);2
;;Momota;20;Netting(M);3
;;Axelsen;20;Lob(A);4
;;Momota;20;Smash(M);5
;;Axelsen;20;Netting(A);6
;;Momota;20;Lob(M);7
;;Axelsen;20;Drive(A);8
;;Momota;20;Drive(M);9
;;Axelsen;20;Smash(A);10
;;Momota;20;Drive(M);11
;;Axelsen;20;Drive(A);12
;;Momota;20;Lob(M);13
;;Axelsen;20;Lob(A);14
;;Momota;20;Dropshot(M);15
;;Axelsen;20;Lob(A);16
;;Momota;20;Smash(M);17
;;Axelsen;20;Netting(A);18
;;Momota;20;Lob(M);19
;;Axelsen;20;Lob(A);20
;;Momota;20;Dropshot(M);21
;;Axelsen;20;Netting(A);22
;;Momota;20;Lob(M);23
;;Axelsen;20;Dropshot(A);24
;;Momota;20;Lob(M);25
;;Axelsen;20;Lob(A);26
11;9;Momota;20;Lob(M);27
;;Axelsen;21;Lob(A);1
;;Momota;21;Dropshot(M);2
;;Axelsen;21;Netting(A);3
;;Momota;21;Lob(M);4
;;Axelsen;21;Lob(A);5
;;Momota;21;Smash(M);6
;;Axelsen;21;Drive(A);7
;;Momota;21;Lob(M);8
;;Axelsen;21;Lob(A);9
;;Momota;21;Lob(M);10
11;10;Axelsen;21;Smash(A);11
;;Momota;22;Lob(M);1
11;11;Axelsen;22;Drive(A);2
;;Momota;23;Lob(M);1
;;Axelsen;23;Smash(A);2
;;Momota;23;Drive(M);3
;;Axelsen;23;Netting(A);4
;;Momota;23;Netting(M);5
;;Axelsen;23;Lob(A);6
;;Momota;23;Dropshot(M);7
;;Axelsen;23;Netting(A);8
;;Momota;23;Lob(M);9
;;Axelsen;23;Lob(A);10
;;Momota;23;Dropshot(M);11
;;Axelsen;23;Lob(A);12
;;Momota;23;Dropshot(M);13
;;Axelsen;23;Drive(A);14
;;Momota;23;Lob(M);15
;;Axelsen;23;Lob(A);16
;;Momota;23;Dropshot(M);17
;;Axelsen;23;Netting(A);18
;;Momota;23;Lob(M);19
;;Axelsen;23;Dropshot(A);20
;;Momota;23;Lob(M);21
;;Axelsen;23;Lob(A);22
;;Momota;23;Dropshot(M);23
;;Axelsen;23;Netting(A);24
;;Momota;23;Lob(M);25
;;Axelsen;23;Lob(A);26
;;Momota;23;Dropshot(M);27
;;Axelsen;23;Lob(A);28
;;Momota;23;Dropshot(M);29
;;Axelsen;23;Lob(A);30
;;Momota;23;Dropshot(M);31
;;Axelsen;23;Lob(A);32
;;Momota;23;Lob(M);33
;;Axelsen;23;Smash(A);34
;;Momota;23;Drive(M);35
;;Axelsen;23;Lob(A);36
;;Momota;23;Dropshot(M);37
;;Axelsen;23;Netting(A);38
;;Momota;23;Lob(M);39
;;Axelsen;23;Dropshot(A);40
;;Momota;23;Netting(M);41
;;Axelsen;23;Netting(A);42
;;Momota;23;Netting(M);43
;;Axelsen;23;Drive(A);44
12;11;Momota;23;Smash(M);45
;;Axelsen;24;Lob(A);1
;;Momota;24;Lob(M);2
12;12;Axelsen;24;Smash(A);3
;;Momota;25;Smash(M);1
;;Axelsen;25;Drive(A);2
;;Momota;25;Lob(M);3
;;Axelsen;25;Smash(A);4
;;Momota;25;Netting(M);5
;;Axelsen;25;Lob(A);6
;;Momota;25;Smash(M);7
;;Axelsen;25;Lob(A);8
;;Momota;25;Dropshot(M);9
;;Axelsen;25;Netting(A);10
;;Momota;25;Lob(M);11
;;Axelsen;25;Lob(A);12
;;Momota;25;Dropshot(M);13
;;Axelsen;25;Lob(A);14
;;Momota;25;Smash(M);15
;;Axelsen;25;Lob(A);16
;;Momota;25;Lob(M);17
;;Axelsen;25;Dropshot(A);18
;;Momota;25;Netting(M);19
;;Axelsen;25;Lob(A);20
;;Momota;25;Lob(M);21
;;Axelsen;25;Smash(A);22
